id,size,annualized,prop_dt,prop_large,prop_retail,prop_insider,share
000662,342.50,4.34%,2017-06-30,97.43%,2.57%,0.02%,213.33
000663,3.79,-0.83%,2017-06-30,1.72%,98.28%,0.02%,3.28
000664,0.24,4.53%,2017-06-30,97.70%,2.30%,0.00%,3.85
000665,156.23,3.78%,2017-06-30,98.93%,1.07%,0.00%,73.93
000667,1.81,1.94%,2017-06-30,55.32%,44.68%,0.37%,2.00
000668,11.24,2.73%,2017-06-30,99.53%,0.47%,0.01%,16.78
000669,0.06,2.43%,2017-06-30,0.00%,100.00%,0.26%,0.02
000672,0.45,1.04%,2017-06-30,0.10%,99.90%,0.02%,0.52
000674,25.99,-9.33%,2017-06-30,52.04%,47.96%,0.01%,30.59
000676,25.99,0.23%,2017-06-30,52.03%,47.97%,0.01%,29.95
000677,164.42,4.06%,2017-06-30,18.59%,81.41%,0.10%,102.11
000678,17.64,4.15%,2017-06-30,86.93%,13.07%,1.85%,23.65
000679,1.15,0.17%,2017-06-30,5.49%,94.51%,0.00%,1.75
000681,6.25,3.95%,2017-06-30,7.97%,92.03%,0.29%,6.65
000682,145.73,4.20%,2017-06-30,86.06%,13.94%,0.00%,111.22
000683,0.02,3.63%,2017-06-30,0.01%,99.99%,0.16%,0.01
000684,0.76,4.53%,2017-06-30,0.00%,100.00%,1.31%,0.67
000685,12.51,2.97%,2017-06-30,99.99%,0.01%,0.01%,18.12
000686,14.59,4.18%,2017-06-30,4.52%,95.48%,0.02%,11.05
000687,129.46,4.05%,2017-06-30,0.06%,99.94%,0.00%,73.12
000688,2.48,22.17%,2017-06-30,76.30%,23.70%,0.00%,1.65
000689,3.65,-0.14%,2017-06-30,94.30%,5.70%,0.00%,3.18
000690,0.56,-31.24%,2017-06-30,53.47%,46.53%,0.00%,0.97
000692,0.21,4.21%,2017-06-30,0.00%,100.00%,0.00%,0.06
000693,2197.69,4.01%,2017-06-30,18.82%,81.18%,0.02%,804.29
000694,6.44,1.63%,2017-06-30,99.53%,0.47%,0.01%,6.58
000695,2.68,3.20%,2017-06-30,96.80%,3.20%,0.04%,2.28
000696,27.55,-9.72%,2017-06-30,6.18%,93.82%,0.01%,24.09
000697,46.79,-7.78%,2017-06-30,0.18%,99.82%,0.01%,41.68
000698,25.62,-2.59%,2017-06-30,0.16%,99.84%,0.00%,18.21
000699,68.83,3.91%,2017-06-30,50.11%,49.89%,0.02%,41.70
000700,64.28,4.09%,2017-06-30,92.96%,7.04%,0.00%,157.79
000701,3.31,3.86%,2017-06-30,10.67%,89.33%,0.00%,10.13
000704,12.74,4.13%,2017-06-30,8.53%,91.47%,0.10%,5.79
000705,2.06,4.38%,2017-06-30,95.66%,4.34%,0.00%,0.58
000706,3.40,1.38%,2017-06-30,99.63%,0.37%,0.00%,2.77
000707,148.13,4.11%,2017-06-30,96.93%,3.07%,0.00%,183.20
000708,11.14,3.39%,2017-06-30,94.88%,5.12%,0.00%,10.24
000709,120.23,4.13%,2017-06-30,0.21%,99.78%,0.33%,60.98
000710,32.56,3.32%,2017-06-30,1.11%,98.89%,0.08%,36.19
000711,14.19,8.07%,2017-06-30,10.05%,89.95%,0.05%,11.22
000712,0.25,3.74%,2017-06-30,13.65%,86.35%,0.05%,0.22
000713,10.34,3.99%,2017-06-30,99.48%,0.52%,0.00%,9.59
000714,0.18,3.18%,2017-06-30,4.92%,95.08%,0.36%,0.16
000715,29.17,4.39%,2017-06-30,0.00%,100.00%,0.01%,29.59
000716,42.57,3.98%,2017-06-30,100.00%,0.00%,0.00%,24.74
000717,1.26,22.34%,2017-06-30,6.07%,93.93%,0.68%,0.94
